"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"60 Minutes";1968;7;7.4;61;"Documentary,1968";"America's popular television News magazine in which an ever changing team of CBS News correspondents contribute segments ranging from hard news coverage to politics to lifestyle and pop culture.60 Minutes featuring Lesley Stahl and Scott Pelley has one or more episodes streaming with subscription on Hulu, streaming on CBS All Access, free on CBS, and 3 others. It's a documentary show with 1,612 episodes over 52 seasons. 60 Minutes has a new episode airing on September 20th, 2020 (PDT). It has a better than average IMDb audience rating of 7.4 (2,997 votes).";"52 Seasons";"Hulu"
"Eli Stone";2008;7;7.6;61;"Comedy,Drama";"Many lawyers consider themselves prophets, but Eli Stone may be the real deal. Eli has built a successful career at a top law firm in San Francisco representing only the biggest and richest corporations that make a habit of screwing over the little guy. But after experiencing a series of odd hallucinations, Eli seeks to find a deeper meaning to life while trying not to lose his job and destroy his relationship with the bosses' daughter. When Eli discovers an aneurysm in his brain, he wonders if his condition is truly medical or if perhaps he now has a higher calling.Eli Stone featuring Jonny Lee Miller and Loretta Devine has one or more episodes streaming with subscription on Hulu, free on ABC, available for purchase on iTunes, and 5 others. It's a comedy and drama show with 26 episodes over 2 seasons. Eli Stone is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (9,279 votes) and was met with mixed reviews by critics.";"2Seasons";"Hulu"
"Night on Earth";2020;7;8.2;61;"Documentary,2020";"This nature series’ new technology lifts night’s veil to reveal the hidden lives of the world’s creatures, from lions on the hunt to bats on the wing.Night on Earth featuring Samira Wiley has one or more episodes streaming with subscription on Netflix. It's a documentary show with 6 episodes over 1 season. Night on Earth is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (2,692 votes).";"1Season";"Netflix"
"Home for Christmas";2019;18;7.6;61;"Comedy,Drama";"Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas.Home for Christmas featuring Ida Elise Broch and Gabrielle Leithaug has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 6 episodes over 1 season. Home for Christmas is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (4,829 votes).";"1Season";"Netflix"
"Jack Whitehall: Travels with My Father";2017;18;7.7;61;"Comedy,Travel";"Comic Jack Whitehall invites his stodgy, unadventurous father to travel with him to odd locations and events in an attempt to strengthen their bond.Jack Whitehall: Travels with My Father featuring Jack Whitehall and Michael Whitehall has one or more episodes streaming with subscription on Netflix. It's a comedy and documentary show with 13 episodes over 3 seasons. Jack Whitehall: Travels with My Father is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (3,402 votes).";"3Seasons";"Netflix"
"Traitors";2019;18;6.6;61;"Drama,Action & Adventure";"1945 London. Feef is seduced by a rogue American spy into spying on her own country. Her task? To uncover a Russian agent in the heart of the British Government.Traitors featuring Emma Appleton and Keeley Hawes has one or more episodes streaming with subscription on Netflix. It's an action & adventure and drama show with 6 episodes over 1 season. Traitors is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.6 (2,155 votes) and was well received by critics.";"1Season";"Netflix"
"The Dead Files";2011;7;6.8;61;"Reality,Horror";"Psychic medium Amy Allan and former NYPD homicide detective Steve DiSchiavi investigate locations that are reported to be haunted.The Dead Files featuring Steve DiSchiavi and Amy Allan has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Travel Channel, free on Travel Channel, and 5 others. It's a documentary and horror show with 250 episodes over 15 seasons. The Dead Files is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.8 (2,010 votes).";"15 Seasons";"Hulu"
"Wanderlust";2018;16;7.0;61;"Drama,2018";"A therapist tries to save her marriage after a cycling accident causes them to reassess their relationship.Wanderlust featuring Toni Collette and Steven Mackintosh has one or more episodes streaming with subscription on Netflix. It's a drama show with 6 episodes over 1 season. Wanderlust is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (4,200 votes) and was well received by critics.";"1Season";"Netflix"
"The Voice";2011;7;6.5;61;"Reality,Game Show";"The strongest vocalists from across the United states compete in a blockbusters vocal competition, the winner becomes “The Voice.” The show's innovative format features four stages of competition: the blind auditions, the battle rounds, the knockouts and, finally, the live performance shows.The Voice featuring Carson Daly and Blake Shelton has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), and free on NBC. It's a drama and game show show with 340 episodes over 14 seasons. The Voice is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.5 (11,384 votes).";"14Seasons";"Hulu"
"Bluff City Law";2019;16;6.8;61;"Drama,2019";"The lawyers of an elite Memphis law firm specializing in the most controversial landmark civil rights cases and led by legendary lawyer Elijah Strait and his brilliant daughter, Sydney Keller, take on the toughest David-and-Goliath cases while navigating their complicated relationship.Bluff City Law featuring Jimmy Smits and Caitlin McGee has one or more episodes streaming with subscription on Hulu, free on NBC, streaming with subscription on fuboTV, and 3 others. It's a drama show with 10 episodes over 1 season. Bluff City Law is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.8 (1,895 votes) and was not well received by critics.";"1Season";"Hulu"
"Inside the World's Toughest Prisons";2016;18;7.0;61;"Documentary,Crime";"Crime journalist Paul Connolly goes behind the bars of some of the world’s most notorious and toughest prisons. Immersing himself in maximum security facilities around the world to live as a prisoner, he encounters the inmates locked up for their crimes and meets the men and women on the right side of law tasked with keeping the criminals behind bars.Inside the World's Toughest Prisons featuring Paul Connolly and Raphael Rowe has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 16 episodes over 4 seasons. Inside the World's Toughest Prisons is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.0 (1,519 votes).";"4 Seasons";"Netflix"
"Total Drama Island";2007;7;7.2;61;"Animation,Comedy";"Reality TV meets animation in this parody in which twenty-two teens are sent to the most run-down and bug-infested summer camp known to reality TV producers. Split into teams, The Screaming Gophers take on The Killer Bass as they face challenges that get more insane each week.Total Drama Island featuring Clé Bennett and Christian Potenza has one or more episodes streaming with subscription on Netflix, available for purchase on Google Play, and available for purchase on YouTube. It's an action & adventure and animation show with 119 episodes over 6 seasons. Total Drama Island is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.2 (7,902 votes).";"6Seasons";"Netflix"
"Hellsing";2001;16;7.9;61;"Action & Adventure,Anime";"Vampires exist. It is the duty of Hellsing, an organization sponsored by the British government, to hide that frightening fact and protect the blissfully unaware populace. Along with its own personal army, Hellsing also has a few secret weapons. Alucard, an incredibly powerful vampire, has been controlled by Hellsing for years. Although he dislikes being a servant to the Hellsing family, he certainly enjoys his job as Hellsing’s vampire exterminator. Seras is a fledgling vampire and a former police woman. Although reluctant to embrace her new self, she is still a valuable member of the organization. Integra Hellsing, the current leader, is usually fully capable of fulfilling her duty, but lately, vampire activity has been on the rise. Unfortunately, the cause is more alarming than anything she could have imagined...Hellsing featuring Jouji Nakata and Fumiko Orikasa has one or more episodes streaming with subscription on Hulu, streaming with subscription on Funimation, available for purchase on iTunes, and 1 other. It's an action & adventure and animation show with 15 episodes over 3 seasons. Hellsing is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (14,234 votes).";"3Seasons";"Hulu"
"Too Hot to Handle";2020;18;4.5;61;"Reality,Game Show";"On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex.Too Hot to Handle featuring Chloe Veitch and Harry Jowsey has one or more episodes streaming with subscription on Netflix. It's a game show and reality show with 9 episodes over 1 season. Too Hot to Handle is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 4.5 (7,023 votes) and was not well received by critics.";"1 Season";"Netflix"
"Naked and Afraid XL";2015;16;7.3;61;"Reality,Action & Adventure";"A group of the best survival experts in the world take on an un-survivable situation: 40 days. 40 nights. No food, water or clothes. To survive they'll need to master the environment, pushing far beyond the breaking point. Will even one be able to finish?Naked and Afraid XL has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Discovery GO, streaming with subscription on fuboTV, and 5 others. It's an action & adventure and documentary show with 72 episodes over 6 seasons. Naked and Afraid XL is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (1,012 votes).";"6Seasons";"Hulu"
"Storage Wars";2010;7;6.4;61;"Reality,Documentary";"When rent is not paid on a storage locker for three months in California, the contents can be sold by an auctioneer as a single lot of items in the form of a cash-only auction. The show follows professional buyers who purchase the contents based only on a five-minute inspection of what they can see from the door when it is open. The goal is to turn a profit on the merchandise.Storage Wars featuring Dan Dotson and Brandi Passante has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, free on PlutoTV, and 9 others. It's a documentary and reality show with 301 episodes over 12 seasons. Storage Wars is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (8,664 votes).";"12 Seasons";"Hulu,Prime Video"
"X Company";2015;16;7.7;61;"Drama,2015";"An emotionally-driven character drama, set in the thrilling and dangerous world of WWII espionage and covert operations. It follows the stories of five highly skilled young recruits - Canadian, American and British - torn from their ordinary lives to train as agents in an ultra-secret facility on the shores of Lake Ontario. These agents parachute behind enemy lines, where they're fair game for torture and execution. From elegant hotels to hellholes in the field, it's one risky operation after another, masterminded by the brains of Camp X.X Company featuring Evelyne Brochu and Jack Laskey has one or more episodes streaming with subscription on Hulu. It's a drama show with 28 episodes over 3 seasons. X Company is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (2,816 votes).";"3Seasons";"Hulu"
"Rosewood";2015;16;6.7;61;"Drama,Crime";"Dr. Beaumont Rosewood, Jr. is a brilliant private pathologist who uses wildly sophisticated technology and his drive to live life to the fullest to help a tough-as-nails detective and the Miami PD uncover clues no one else can see.Rosewood featuring Morris Chestnut and Jaina Lee Ortiz has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 44 episodes over 2 seasons. Rosewood is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (6,762 votes) and was disliked by critics.";"2Seasons";"Hulu"
"Damien";2016;16;6.9;61;"Drama,Fantasy";"After discovering his origins, Damien Thorn must cope with life as the Anti-Christ.Damien featuring Bradley James and Omid Abtahi has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a drama and fantasy show with 10 episodes over 1 season. Damien is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.9 (7,237 votes) and was disliked by critics.";"1Season";"Hulu"
"Republic of Doyle";2010;16;7.3;61;"Comedy,Crime";"Jake Doyle and his ex-cop father, Malachy, run a Newfoundland detective agency. Their rugged seaside town never lacks for intriguing cases, and the Doyles don't always land on the right side of the law.Republic of Doyle featuring Allan Hawco and Sean McGinley has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Acorn TV, and 3 others. It's a comedy and crime show with 78 episodes over 6 seasons. Republic of Doyle is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (3,114 votes).";"6Seasons";"Netflix,Prime Video"
"Upstairs Downstairs";2010;7;7.4;61;"Drama,Romance";"Set in 1936, the show takes viewers, old and new, back to the lavish world of Belgravia, London. A new set of occupants reside at 165 Eaton Place and viewers see how external and internal influences of the tumultuous pre-war period shape and mould the lives of this wealthy family and their servants.‬Upstairs Downstairs featuring Keeley Hawes and Ed Stoppard has one or more episodes streaming with subscription on Hulu, streaming on BritBox, available for purchase on iTunes, and 5 others. It's a drama and romance show with 9 episodes over 2 seasons. Upstairs Downstairs is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (5,385 votes).";"2 Seasons";"Hulu"
"Locked Up Abroad";2006;16;8.2;61;"Documentary,Drama";"Terrifying tales of every traveler's worst fear - imprisonment abroad. From gruesome jails to chilling kidnappings, live through the panic, tears and desperation as each dreadful story unfolds.Locked Up Abroad has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), and 7 others. It's a documentary and drama show with 174 episodes over 13 seasons. Locked Up Abroad is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (1,754 votes).";"13Seasons";"Hulu,Prime Video"
"Marvel's Spider-Man";2017;7;6.1;61;"Animation,Action & Adventure";"An insecure but courageous and intelligent teen named Peter Parker, a new student of Midtown High, is bitten by a radioactive spider and given powers. He becomes a hero named Spider-Man after the death of his uncle and he must adapt to this new way of life.Marvel's Spider-Man featuring Robbie Daymond and Nadji Jeter has one or more episodes streaming with subscription on Disney+, streaming with subscription on fuboTV, available for purchase on iTunes, and 6 others. It's an action & adventure and animation show with 57 episodes over 3 seasons. Marvel's Spider-Man has a new episode airing on September 27th, 2020 (PDT). It has an average IMDb audience rating of 6.1 (1,578 votes).";"3Seasons";"Disney+"
"Dimension 404";2017;7;6.6;61;"Action & Adventure,Comedy";"Inspired by the Internet’s “404” error code, Dimension 404 aims to evoke that 3 AM feeling of wandering onto the weird side of the web, stumbling upon stories that cannot be explained in the world that we know.Dimension 404 featuring Mark Hamill has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 1 other. It's an action & adventure and comedy show with 6 episodes over 1 season. Dimension 404 is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.6 (2,227 votes) and was well received by critics.";"1Season";"Hulu"
"The Cleveland Show";2009;16;5.5;61;"Animation,Comedy";"The bizarre adventures of Cleveland Brown and co.The Cleveland Show featuring Kevin Michael Richardson and Mike Henry has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TBS, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), and 9 others. It's an action & adventure and animation show with 88 episodes over 4 seasons. The Cleveland Show is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 5.5 (38,105 votes).";"4Seasons";"Hulu"
"Banished";2015;18;7.4;61;"Drama,History";"At its heart, Banished is a story of survival. Though it is set in the stark historical reality of the founding of the penal colony in Australia in 1788 after the arrival of the First Fleet, it is not the story of Australia and how it came to be. Rather, it is a tale of love, faith, justice and morality played out on an epic scale in a confined community where the stakes are literally life and death.Banished featuring Russell Tovey and MyAnna Buring has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming on BritBox, and 6 others. It's a drama and history show with 11 episodes over 1 season. Banished is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (3,207 votes).";"1Season";"Hulu,Prime Video"
"Reckoning";2019;18;6.6;61;"Thriller,Drama";"The murder of a teenager and the hunt for a serial killer in a suburban Northern California town sets two fathers on a course of mutual destruction that will reverberate through their quiet community. Starring Sam Trammell and Aden Young.Reckoning featuring Toby Schmitz and Aden Young has one or more episodes streaming with subscription on Netflix. It's a drama and thriller show with 10 episodes over 1 season. Reckoning is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (2,607 votes).";"1Season";"Netflix"
"Deputy";2020;16;6.2;61;"Action & Adventure,Crime";"When the Los Angeles County’s Sheriff dies, an arcane rule forged back in the Wild West thrusts the most unlikely man into the job: a fifth-generation lawman, more comfortable taking down bad guys than navigating a sea of politics, who won’t rest until justice is served.Deputy featuring Stephen Dorff and Yara Martinez has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), free on FOX, and 5 others. It's an action & adventure and crime show with 13 episodes over 1 season. Deputy is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.2 (3,986 votes) and was not well received by critics.";"1Season";"Hulu"
"I Am a Killer";2018;18;7.5;61;"Documentary,Crime";"Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.I Am a Killer has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 20 episodes over 2 seasons. I Am a Killer is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (2,783 votes).";"2Seasons";"Netflix"
"The Worst Witch";2017;7;7.4;61;"Action & Adventure,Children";"Mildred Hubble becomes a student at Cackle's Academy.The Worst Witch featuring Bella Ramsey and Meibh Campbell has one or more episodes streaming with subscription on Netflix. It's an action & adventure and children show with 50 episodes over 4 seasons. The Worst Witch is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (1,563 votes).";"4Seasons";"Netflix"
"Shiki";2010;18;7.7;61;"Animation,Anime";"Sotobamura is a small village with around 1300 residents; so small the village isn't even connected to a single highway. An isolated village in which old customs, such as the burial of the dead, are still practiced. One day, the bodies of three people are found dead. Although Ozaki Toshio, the village's lone doctor, feels uncertain, he treats the deaths as a normal occurrence. However, in the days following, the villagers start to die one after the other.Shiki featuring Nobuhiko Okamoto and Wataru Takagi has one or more episodes streaming with subscription on Hulu, free on Crunchyroll, available for purchase on iTunes, and 2 others. It's an animation and anime show with 24 episodes over 2 seasons. Shiki is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (2,687 votes).";"2 Seasons";"Hulu"
"Drugs, Inc.";2010;16;7.8;61;"Documentary,Crime";"Drugs: A multi-billion-dollar industry that fuels crime and violence like no other substance on the planet. Turning cartel leaders into billionaires, the illegal drug industry also provides vital income to hundreds of thousands of poor workers across the globe. While some users sacrifice their lives to an addiction they can't escape, others find drugs to be their only saving grace from physical or emotional pain almost impossible to overcome. Where should the lines be drawn in this lucrative industry?Drugs, Inc. has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on National Geographic, and 4 others. It's a crime and documentary show with 94 episodes over 9 seasons. Drugs, Inc. is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (1,249 votes).";"9 Seasons";"Hulu,Netflix"
"Picnic at Hanging Rock";2018;16;6.1;61;"Drama,Mystery";"Valentine's Day, 1900. Three schoolgirls and their governess mysteriously disappear in Hanging Rock, Australia, without a trace.Picnic at Hanging Rock featuring Natalie Dormer and Lily Sullivan has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hoopla, available for purchase on iTunes, and 3 others. It's a drama and mystery show with 6 episodes over 1 season. Picnic at Hanging Rock is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.1 (3,444 votes) and was well received by critics.";"1 Season";"Prime Video"
"Girls und Panzer";2012;16;7.5;61;"Animation,Anime";"In this world, Sensha-do (戦車道), the art of tank-combat, is a traditional Japanese martial art for girls. Miho, a girl who just transferred into the Ōrai Girls' Academy in Ibaraki Prefecture, has been ordered by the academy's student council chairperson to join the school team and compete in the national Sensha-do championships.Girls und Panzer featuring Yuka Iguchi and Mami Ozaki has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on Crunchyroll, and 2 others. It's an action & adventure and animation show with 15 episodes over 2 seasons. Girls und Panzer is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (855 votes).";"2Seasons";"Hulu,Netflix"
"America's Funniest Home Videos";1989;7;6.2;61;"Comedy,Reality";"America's Funniest Home Videos is the longest-running primetime entertainment show in ABC history. Each week AFV shines the spotlight on hilarious videos. Fans tune in to witness failures and fiascos and to submit their own mishaps for their chance at stardom.America's Funniest Home Videos featuring Alfonso Ribeiro and Bob Saget has one or more episodes streaming with subscription on Hulu, streaming with subscription on Disney+, free on ABC, and 5 others. It's a comedy and family show with 708 episodes over 32 seasons. America's Funniest Home Videos has a new episode airing on October 18th, 2020 (PDT). It has an average IMDb audience rating of 6.2 (4,738 votes).";"32Seasons";"Hulu,Disney+"
"Say Yes to the Dress";2007;7;5.6;61;"Reality,2007";"Welcome to the world’s premier bridal salon, Kleinfeld Bridal. Part fashion show, part bridal story, part family therapy…Randy Fenoli & a team of specialists guide brides through the process of selecting, altering & delivering each dress in time for their perfect day.Say Yes to the Dress has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming via tv everywhere with TLC GO, and 5 others. It's a reality show with 363 episodes over 20 seasons. Say Yes to the Dress is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.6 (1,676 votes).";"20 Seasons";"Hulu,Prime Video"
"So Weird";1999;7;8.5;61;"Children,Action & Adventure";"Fourteen-year-old Fi Phillips investigates the paranormal while touring the country in a bus with her widowed rock-star mom and her skeptical brother, Jack. At the beginning of Season 3, Fi passed the job of case cracker to a songbird named AnnieSo Weird featuring Cara DeLizia and Mackenzie Phillips has one or more episodes streaming with subscription on Disney+. It's an action & adventure and children show with 65 episodes over 3 seasons. So Weird is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (2,578 votes).";"3Seasons";"Disney+"
"Rosario + Vampire";2008;18;7.0;61;"Animation,Anime";"An ordinary high school boy fails to get into any private academy except one — which happens to be populated by supernatural creatures disguised as humans. To survive, he has to pretend that he is one of them and blend in.Rosario + Vampire featuring Daisuke Kishio and Nana Mizuki has one or more episodes streaming with subscription on Hulu, streaming with subscription on Funimation, available for purchase on iTunes, and 2 others. It's an animation and anime show with 26 episodes over 2 seasons. Rosario + Vampire is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.0 (2,366 votes).";"2Seasons";"Hulu"
"Moone Boy";2012;16;8.1;61;"Comedy,2012";"Martin Moone is a young boy who relies on the help of his imaginary friend Sean to deal with the quandaries of life in a wacky small-town Irish family in the 1980's.Moone Boy featuring Chris O'Dowd and David Rawle has one or more episodes streaming with subscription on Hulu, free on Tubi, available for purchase on iTunes, and 4 others. It's a comedy show with 18 episodes over 3 seasons. Moone Boy is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (5,304 votes).";"3Seasons";"Hulu"
"The Velvet Collection";2017;16;7.2;61;"Drama,Comedy";"It is the year 1967. After five happy years of marriage in New York with Alberto and their young son, Anna Ribera returns to Spain to take her project Velvet to the next level. She and Alberto had been managing all things Velvet from across the ocean and, together with their best friends and partners, had made a name for Velvet as the number one address in the world of fashion and innovation. Now they decide to take the next step and turn their reputation into a franchise, first at home, then abroad. The first step is opening shop in the other great Spanish city, Barcelona, on its world famous promenade, the Passeig de Gracia. There, the second Velvet Fashion Store is about to open its gates, managed by Ana's good friend Clara who had made it up the career ladder from seamstress to directorial assistant in the Madrid Velvet years.The Velvet Collection featuring Marta Hazas and Javier Rey has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 20 episodes over 2 seasons. The Velvet Collection is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (994 votes).";"2Seasons";"Netflix"
"American Gladiators";1989;7;6.5;61;"Action & Adventure,Game Show";"American Gladiators is an American competition television program that aired weekly in syndication from September 1989 to May 1996. The series matched a cast of amateur athletes against each other, as well as against the show's own gladiators, in contests of strength and agility. The concept was created by Dan Carr and John C. Ferraro, who held the original competition at Erie Tech High School in Erie, Pennsylvania. They sold the show to The Samuel Goldwyn Company where the concept was enhanced and became American Gladiators.An effort in 2004 to launch a live American Gladiators show on the Las Vegas Strip became mired in a securities fraud prosecution. However, the television series was restarted in 2008. Episodes from the original series were played on ESPN Classic from 2007 to 2009. Several episodes are available for download on Apple's iTunes Service.American Gladiators has one or more episodes streaming with subscription on Hulu, and free on PlutoTV. It's an action & adventure and game show show with 151 episodes over 7 seasons. American Gladiators is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.5 (2,225 votes).";"7Seasons";"Hulu"
"Blood & Treasure";2019;16;6.6;61;"Action & Adventure,Crime";"An antiquities expert teams up with an art thief to catch a terrorist who funds his attacks using stolen artifacts.Blood & Treasure featuring Matt Barr and Sofia Pernas has one or more episodes streaming with subscription on Prime Video, streaming on CBS All Access, free on CBS, and 1 other. It's an action & adventure and crime show with 14 episodes over 1 season. Blood & Treasure is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.6 (3,295 votes).";"1 Season";"Prime Video"
"Iron Man: Armored Adventures";2009;7;6.5;61;"Action & Adventure,Animation";"Iron Man: Armored Adventures is a 3D CGI cartoon series based on the Marvel Comics superhero Iron Man. It debuted in the USA on the Nicktoons on April 24, 2009, and has already begun airing on Canadian network Teletoon. Iron Man: Armored Adventures aired on Nickelodeon on July 4, 2009 until September 12, 2009. The series is story edited by showrunner Christopher Yost, who also worked on Wolverine and the X-Men, and numerous other Marvel Animation projects. The television show is not related to the 2007 animated film The Invincible Iron Man; It has a different voice cast, but some story elements are similar and the show uses the same musical score as the film in some instances. It is the first Iron Man television series since Iron Man from 1994–1996, and started airing after the success of the live action Iron Man film. The series follows the adventures of teenage child prodigy Tony Stark and his alter ego of Iron Man. As Iron Man, he uses his technological inventions to fight various similarly technologically advanced threats. His friends, James 'Rhodey' Rhodes and Pepper Potts help him on his courageous, and dangerous adventures.Iron Man: Armored Adventures featuring Adrian Petriw and Anna Cummer has one or more episodes streaming with subscription on Netflix, streaming with subscription on Disney+, and available for purchase on Prime Video. It's an action & adventure and animation show with 52 episodes over 2 seasons. Iron Man: Armored Adventures is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.5 (2,875 votes) and was met with mixed reviews by critics.";"2 Seasons";"Netflix,Disney+"
"Midnight Diner: Tokyo Stories";2016;16;8.4;61;"Drama,Food";"In a restaurant opening from midnight to 7AM, there is no menu but the chef cooks anything the customer wants. Each episode is about a different customer.Midnight Diner: Tokyo Stories featuring Kaoru Kobayashi and Joe Odagiri has one or more episodes streaming with subscription on Netflix. It's a drama and food show with 20 episodes over 2 seasons. Midnight Diner: Tokyo Stories is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (2,864 votes).";"2 Seasons";"Netflix"
"Marvel's Inhumans";2017;7;5.0;61;"Action & Adventure,Science-Fiction";"After the Royal Family of Inhumans is splintered by a military coup, they barely escape to Hawaii where their surprising interactions with the lush world and humanity around them may prove to not only save them, but Earth itself.Marvel's Inhumans featuring Anson Mount and Serinda Swan has one or more episodes streaming with subscription on Disney+, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and drama show with 8 episodes over 1 season. Marvel's Inhumans is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.0 (21,411 votes) and was disliked by critics.";"1 Season";"Disney+"
"The Circus";2016;16;7.0;61;"Documentary,2016";"Come one, come all to The Circus. This real-time documentary series pulls back the curtain on the current political stories, revealing the intense, inspiring and infuriating stories behind the headlines. Key characters and events are presented in real time, as they are happening.The Circus has one or more episodes streaming on Showtime, streaming with subscription on Hulu, free on Showtime FREEview, and 5 others. It's a documentary show with 79 episodes over 5 seasons. The Circus has a new episode airing on September 20th, 2020 (PDT). It has a better than average IMDb audience rating of 7.0 (742 votes).";"5Seasons";"Hulu"
"Street Outlaws";2013;16;6.6;61;"Documentary,Reality";"From a 1969 Chevy Nova to a race-ready farm truck, the vehicles - and their drivers - come in all shapes and sizes and have one thing in common: the need for speed. But according to the STREET OUTLAWS of Oklahoma City - home to one of the largest undercover street racing rings in America – if you’re not on “the list,” you don’t matter. The “list” contains the 10 fastest street-racing cars in Oklahoma City and they are the best of the best. Not only will these guys will do anything -ANYTHING- to get ranked on this list, they’ll do whatever it takes to STAY ranked. Street racing comes first - before family, before friends and before work. The stakes are high and these drivers will put everything on the line to get to top, where there can only be one #1.Street Outlaws has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Discovery GO, streaming with subscription on Motor Trend (Via Prime Video), and 5 others. It's a documentary and reality show with 253 episodes over 16 seasons. Street Outlaws is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.6 (941 votes).";"16Seasons";"Hulu"
